run_id,model_key,dataset_key,seed,rank,effective_bits_per_value,file_megabytes,truncated_bits_saved,random_mask_bits_saved,truncated_retained,random_mask_retained,retained_gain_points
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_7b_base,kind_code,11,4,0.823154201755276,1.038465,6857.656903395196,1780.0674352011877,0.8707191646651858,0.2260158027822462,64.47033618829396
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_7b_base,kind_code,11,1,3.5177239752435066,1.109462,7671.706492271769,1959.029177621451,0.9740793338902923,0.24873863961446646,72.5340694275826
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_7b_base,kind_code,11,2,2.057528409090909,1.297856,7705.266519898418,2448.806871016102,0.9783404626741994,0.3109258895850933,66.74145730891061
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_7b_base,kind_code,11,4,1.0724511084618507,1.35297,7355.227066374529,2592.0896071634993,0.9338958273030014,0.32911855015220864,60.47772771507926
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_7b_base,kind_code,11,8,0.5382785549411526,1.35815,5486.670986210898,2605.5563229388654,0.696644589428354,0.3308284239000342,36.58161655283198
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_7b_base,kind_code,11,2,2.9134410511363638,1.837752,7792.766393473619,3996.745332084746,0.9894503531077654,0.5074681929930552,48.198216011471025
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_7b_base,kind_code,11,4,1.5527058390827921,1.958844,7642.349606263757,4365.941458245277,0.9703518795101509,0.5543451579822141,41.600672152793685
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_7b_base,kind_code,11,8,0.789259080762987,1.991408,6974.58731033509,4465.225495607709,0.885565860510272,0.566951287932227,31.861457257804496
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_7b_base,kind_code,11,2,3.3946089311079546,2.141265,7819.916788420393,4852.19957977903,0.9928976485238835,0.6160855266471892,37.68121218766942
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_7b_base,kind_code,11,1,7.351863712459416,2.318719,7690.549155457687,5306.649963498074,0.9764717936153023,0.6737872553962188,30.26845382190837
