run_id,model_key,dataset_key,observed_r90,predicted_r90,predicted_retention_at_lowest_rate,predicted_retention_at_highest_rate,observed_retention_at_lowest_rate,observed_retention_at_highest_rate
llama-xbrl-tags__llama31-8b-base__xbrl-tags__all-linear-r16__s11__4729f4d39d,llama31_8b_base,xbrl_tags,0.3636623703520512,nan,0.9025039150330961,0.9777409266959831,0.39446022517966456,1.0
llama-xbrl-tags__llama31-8b-base__xbrl-tags__all-linear-r16__s22__fd6b0017d2,llama31_8b_base,xbrl_tags,0.3973651980063905,nan,0.9025868991192557,0.9779713497761284,0.3625903143290356,1.0
llama-xbrl-tags__llama31-8b-base__xbrl-tags__all-linear-r16__s33__cd4a9f7ba1,llama31_8b_base,xbrl_tags,0.3619681643581075,nan,0.908328612322865,0.978832742522922,0.38064536350648026,1.0
mistral-gsm8k-self__mistral-7b-base__gsm8k-self__all-linear-r16__s11__fdca5d1242,mistral_7b_base,gsm8k_self,0.8907039322569323,1.7691409644220402,0.6753307851868373,0.9249557539729205,0.1648219254837943,1.0
mistral-gsm8k-self__mistral-7b-base__gsm8k-self__all-linear-r16__s22__48d2da10de,mistral_7b_base,gsm8k_self,0.7952572808724717,1.7729823159128446,0.6742927297881787,0.9246331323868241,0.16877178850061203,1.0
mistral-gsm8k-self__mistral-7b-base__gsm8k-self__all-linear-r16__s33__d5804c65f0,mistral_7b_base,gsm8k_self,0.8047318372659229,1.7683510378586413,0.6771564156943303,0.9249774972679905,0.18159556121420234,1.0
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s11__aa3871047c,mistral_7b_base,kind_code,0.9270848277264087,1.8056421054698661,0.6182321075873771,0.9243971732443517,0.12235717593395291,1.0
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s22__d79db6a95e,mistral_7b_base,kind_code,0.8811149188660364,1.800234491767811,0.6223439890381495,0.9248672853649782,0.1349608003087566,0.999220737769379
mistral-kind-code__mistral-7b-base__kind-code__all-linear-r16__s33__d6755d3785,mistral_7b_base,kind_code,0.86553799501333,1.8018072001279708,0.6201554200429039,0.9247472272121644,0.14322654954625316,1.0
mistral-kind-dialogue__mistral-7b-base__kind-dialogue__all-linear-r16__s11__64973b625e,mistral_7b_base,kind_dialogue,0.9997361523735224,1.7407550361266586,0.6352828310674506,0.9322616402591919,0.1054015762893738,1.0
mistral-kind-dialogue__mistral-7b-base__kind-dialogue__all-linear-r16__s22__934fae776e,mistral_7b_base,kind_dialogue,0.9205704074489336,1.7588960813710706,0.6191607513834353,0.9311538369566632,0.09548477050610553,0.9984449713347691
mistral-kind-dialogue__mistral-7b-base__kind-dialogue__all-linear-r16__s33__fb2f052ab5,mistral_7b_base,kind_dialogue,0.818950666760853,1.750353031640474,0.6277166561824191,0.9318169582050312,0.12284442124846387,0.991682683387778
mistral-kind-instruct__mistral-7b-base__kind-instruct__all-linear-r16__s11__4857d6cdce,mistral_7b_base,kind_instruct,0.677224851828903,1.6348880663448941,0.7388134140706324,0.9346152302842814,0.18310876438362747,0.9867087126810189
